time,open,high,low,close,tick_volume,spread,real_volume
2026-04-23 05:30:00,4713.97,4715.65,4700.33,4701.26,5237,11,0
2026-04-23 05:45:00,4701.26,4707.37,4698.23,4698.86,5135,11,0
2026-04-23 06:00:00,4698.8,4708.7,4698.28,4702.07,4820,11,0
2026-04-23 06:15:00,4702.05,4705.91,4698.2,4703.22,4170,11,0
2026-04-23 06:30:00,4703.23,4707.06,4701.05,4704.79,3082,11,0
2026-04-23 06:45:00,4704.86,4707.43,4702.52,4703.89,2239,11,0
2026-04-23 07:00:00,4703.89,4706.43,4700.71,4706.33,1929,11,0
2026-04-23 07:15:00,4706.33,4707.01,4702.77,4705.56,1835,11,0
2026-04-23 07:30:00,4705.56,4707.05,4701.58,4701.76,1749,11,0
2026-04-23 07:45:00,4701.76,4704.53,4698.84,4704.45,1754,11,0
2026-04-23 08:00:00,4704.45,4710.3,4703.36,4707.7,2148,11,0
2026-04-23 08:15:00,4707.71,4709.29,4705.29,4705.83,2721,11,0
2026-04-23 08:30:00,4705.85,4707.16,4691.99,4701.64,4381,15,0
2026-04-23 08:45:00,4701.64,4715.14,4701.63,4713.43,3842,11,0
2026-04-23 09:00:00,4713.39,4718.19,4710.74,4711.93,3806,11,0
2026-04-23 09:15:00,4711.92,4714.47,4708.61,4712.26,3265,11,0
2026-04-23 09:30:00,4712.28,4717.27,4709.31,4715.17,2964,11,0
2026-04-23 09:45:00,4715.2,4721.15,4712.0,4712.93,4300,11,0
2026-04-23 10:00:00,4712.81,4716.55,4707.45,4712.36,4044,11,0
2026-04-23 10:15:00,4712.35,4714.03,4703.07,4706.07,4222,11,0
2026-04-23 10:30:00,4705.72,4713.77,4703.52,4713.77,3326,11,0
2026-04-23 10:45:00,4713.77,4720.58,4713.46,4719.17,3378,11,0
2026-04-23 11:00:00,4719.08,4724.84,4717.56,4718.26,3488,11,0
2026-04-23 11:15:00,4718.42,4721.88,4715.02,4715.34,2892,11,0
2026-04-23 11:30:00,4715.96,4716.21,4703.5,4703.81,3921,11,0
2026-04-23 11:45:00,4703.74,4707.54,4701.63,4703.34,3120,11,0
2026-04-23 12:00:00,4703.34,4703.67,4694.67,4696.99,4060,11,0
2026-04-23 12:15:00,4696.96,4703.11,4695.68,4700.9,3365,11,0
2026-04-23 12:30:00,4700.71,4703.12,4699.01,4700.98,3081,11,0
2026-04-23 12:45:00,4700.92,4702.18,4694.73,4697.6,3156,11,0
2026-04-23 13:00:00,4697.6,4701.71,4685.12,4689.04,3583,11,0
2026-04-23 13:15:00,4688.92,4692.59,4684.44,4686.65,3675,11,0
2026-04-23 13:30:00,4686.63,4696.96,4684.32,4690.79,3785,11,0
2026-04-23 13:45:00,4690.79,4697.25,4689.48,4696.65,2724,11,0
2026-04-23 14:00:00,4696.66,4700.23,4695.53,4697.96,3335,11,0
2026-04-23 14:15:00,4697.89,4703.41,4696.46,4699.25,2753,11,0
2026-04-23 14:30:00,4699.36,4706.03,4696.64,4705.43,3699,11,0
2026-04-23 14:45:00,4705.44,4720.92,4704.88,4720.7,4536,11,0
2026-04-23 15:00:00,4720.61,4738.61,4719.69,4729.17,5671,11,0
2026-04-23 15:15:00,4729.17,4735.14,4725.94,4733.44,4497,11,0
2026-04-23 15:30:00,4733.73,4742.52,4733.45,4739.51,4619,11,0
2026-04-23 15:45:00,4739.96,4743.26,4731.46,4740.22,5529,11,0
2026-04-23 16:00:00,4740.3,4740.85,4724.08,4725.69,4856,11,0
2026-04-23 16:15:00,4725.73,4730.86,4725.52,4727.56,4211,11,0
2026-04-23 16:30:00,4727.43,4735.62,4724.61,4734.64,6232,11,0
2026-04-23 16:45:00,4733.86,4741.27,4724.35,4724.46,5689,11,0
2026-04-23 17:00:00,4724.46,4728.71,4717.07,4724.33,6892,11,0
2026-04-23 17:15:00,4724.34,4736.01,4723.54,4731.41,5602,11,0
2026-04-23 17:30:00,4731.32,4734.62,4726.06,4731.07,5362,11,0
2026-04-23 17:45:00,4731.07,4736.66,4728.16,4733.63,5176,11,0
2026-04-23 18:00:00,4733.64,4734.84,4726.8,4730.8,4879,11,0
2026-04-23 18:15:00,4730.92,4741.09,4729.8,4733.58,4950,11,0
2026-04-23 18:30:00,4733.67,4734.86,4728.07,4728.08,4062,11,0
2026-04-23 18:45:00,4728.18,4728.49,4716.43,4720.54,5563,11,0
2026-04-23 19:00:00,4720.54,4722.53,4715.64,4719.46,4412,11,0
2026-04-23 19:15:00,4719.46,4725.07,4719.04,4723.26,2843,11,0
2026-04-23 19:30:00,4723.29,4734.58,4722.68,4734.05,2885,11,0
2026-04-23 19:45:00,4734.05,4737.16,4730.7,4733.01,3354,11,0
2026-04-23 20:00:00,4733.01,4734.55,4705.9,4716.13,6799,11,0
2026-04-23 20:15:00,4716.13,4718.07,4704.55,4706.54,6749,11,0
2026-04-23 20:30:00,4706.49,4714.03,4673.31,4677.52,6757,11,0
2026-04-23 20:45:00,4677.69,4711.01,4664.27,4709.37,7909,11,0
2026-04-23 21:00:00,4709.55,4722.2,4707.89,4713.9,6361,11,0
2026-04-23 21:15:00,4713.89,4716.8,4710.79,4716.74,4936,11,0
2026-04-23 21:30:00,4716.68,4720.42,4707.31,4711.36,4026,11,0
2026-04-23 21:45:00,4711.4,4712.0,4699.49,4701.05,4167,11,0
2026-04-23 22:00:00,4700.95,4704.49,4692.62,4696.21,4875,11,0
2026-04-23 22:15:00,4696.26,4702.65,4695.44,4700.13,3588,11,0
2026-04-23 22:30:00,4700.2,4701.26,4689.47,4692.38,4719,11,0
2026-04-23 22:45:00,4692.43,4700.09,4692.15,4696.1,5155,11,0
2026-04-23 23:00:00,4695.94,4698.24,4690.63,4690.74,2934,11,0
2026-04-23 23:15:00,4690.74,4692.62,4686.56,4689.37,2329,11,0
2026-04-23 23:30:00,4689.37,4691.28,4688.17,4691.05,1216,11,0
2026-04-23 23:45:00,4691.05,4693.97,4688.23,4693.91,1653,11,0
2026-04-24 01:00:00,4694.78,4703.15,4694.78,4697.32,1853,0,0
2026-04-24 01:15:00,4697.32,4697.32,4692.23,4692.82,1243,16,0
2026-04-24 01:30:00,4692.82,4696.77,4690.88,4693.66,1535,17,0
2026-04-24 01:45:00,4693.66,4694.56,4690.11,4693.25,1188,16,0
2026-04-24 02:00:00,4693.18,4695.51,4689.67,4689.71,1558,11,0
2026-04-24 02:15:00,4689.71,4694.63,4686.93,4694.39,1751,11,0
2026-04-24 02:30:00,4694.39,4700.71,4693.54,4697.42,1734,11,0
